ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
754,I agree,I am a developer by profession,18-24 years old,"Student, full-time",NA,NA,"Associate degree (A.A., A.S., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Stack Overflow,NA,4,NA,NA,NA,NA,Other,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Canada,NA,NA,C++;Java;JavaScript;OCaml,C;C++;Rust,NA,NA,Amazon Web Services (AWS);Google Cloud,NA,Next.js;Node.js;React,Next.js;Node.js,NA,NA,Gradle;Maven (build tool);npm,CMake;Make,CLion;IntelliJ IDEA;Neovim;Visual Studio Code,Neovim,Ubuntu;Windows,Windows,Trello,Trello,Microsoft Teams,Microsoft Teams;Slack,NA,NA,NA,NA,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,"No, not really",NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
755,I agree,I code primarily as a hobby,45-54 years old,"Independent contractor, freelancer, or self-employed",Remote,Hobby;Contribute to open-source projects,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Other (please specify):",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Written Tutorials;Click to write Choice 20;Stack Overflow,NA,30,NA,Other (please specify):,NA,NA,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Belarus,NA,NA,HTML/CSS;JavaScript;PowerShell;Python;TypeScript;VBA,HTML/CSS;JavaScript;TypeScript,NA,NA,NA,NA,Node.js;Vue.js,Svelte,NA,NA,npm;Webpack;Yarn,NA,PyCharm;Visual Studio Code;WebStorm,PyCharm;WebStorm,Windows,Windows,GitHub Discussions,NA,NA,NA,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, somewhat",Interactive pre-triage to whip poorly presented questions (90%) into a minimally answerable shape.,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too short,Easy,NA
756,I agree,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed",Remote,Freelance/contract work,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)","Colleague;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Video-based Online Courses;Click to write Choice 20;Stack Overflow;Certification videos,Codecademy;Udemy,11,11,"Developer, front-end",2 to 9 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Ask a generative AI tool,Germany,USD	United States dollar,4000,Dart;HTML/CSS;Java;JavaScript;PHP;PowerShell;TypeScript,Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;Ruby;SQL;TypeScript,MySQL;SQLite,Cloud Firestore;Firebase Realtime Database;MySQL;SQLite,Cloudflare;Firebase;Vercel;VMware,Cloudflare;Firebase;Google Cloud;Vercel;VMware,Angular;AngularJS;Express;jQuery;NestJS;Node.js;React;Vue.js;WordPress,Angular;AngularJS;Django;Express;jQuery;Laravel;NestJS;Node.js;React;Ruby on Rails;Vue.js;WordPress,Cordova;Flutter;Ionic,Cordova;Flutter;Ionic;React Native,Chocolatey;Gradle;Maven (build tool);npm;pnpm;Visual Studio Solution;Webpack;Yarn,Chocolatey;Gradle;Maven (build tool);npm;pnpm;Visual Studio Solution;Webpack;Yarn,Android Studio;Atom;IntelliJ IDEA;Notepad++;PhpStorm;Visual Studio Code;WebStorm,Android Studio;Atom;IntelliJ IDEA;Notepad++;PhpStorm;Visual Studio Code;WebStorm,Android;ChromeOS;iOS;MacOS;Ubuntu;Windows,Android;ChromeOS;iOS;MacOS;Ubuntu;Windows,NA,NA,Discord;Google Meet;Microsoft Teams;Skype;Telegram;Whatsapp;Zoom,Discord;Google Meet;Microsoft Teams;Skype;Telegram;Whatsapp;Zoom,ChatGPT;Google Bard AI,ChatGPT;Google Bard AI,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",NA,Yes,Favorable,Speed up learning;Improve accuracy in coding,Neither trust nor distrust,Learning about a codebase;Writing code;Debugging and getting help,Learning about a codebase;Writing code;Debugging and getting help,,Writing code,Learning about a codebase,,,Debugging and getting help,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,4000
757,I agree,I am learning to code,18-24 years old,"Student, full-time",NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial",NA,4,NA,NA,NA,NA,Given a list,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Sweden,NA,NA,C;HTML/CSS;Java;MATLAB;Python;Rust,Assembly;C;C++;Clojure;Dart;Java;Lisp;Ruby;Rust,NA,NA,NA,NA,NA,NA,Keras;NumPy;Pandas;TensorFlow,NumPy;Pandas,Cargo;GNU GCC;Gradle;Make,Cargo;GNU GCC;Gradle;Make,Atom;IntelliJ IDEA;Neovim;Notepad++;PyCharm;Sublime Text;Vim;Visual Studio Code,IntelliJ IDEA;Visual Studio Code;VSCodium,Android;Windows,Ubuntu;Windows;Windows Subsystem for Linux (WSL),Doxygen,Doxygen,Discord;Microsoft Teams,Discord,ChatGPT,Bing AI;ChatGPT;Google Bard AI;Quora Poe,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",It could give a simple explanation from any one generative AI that gives an answer based on what it has trained on. This could make users get help with their questions faster.,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,Learning about a codebase;Writing code;Debugging and getting help;Testing code,Learning about a codebase;Writing code;Debugging and getting help;Testing code,,,,,Learning about a codebase;Writing code;Debugging and getting help;Testing code,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
758,I agree,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Other (please specify):,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Written Tutorials;Stack Overflow;Interactive tutorial,NA,14,11,"Developer, mobile",20 to 99 employees,I have a great deal of influence,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow;Ask a generative AI tool,Israel,ILS	Israeli new shekel,NA,C#;Dart;Java;Kotlin;Objective-C;Swift,C#;Dart;Kotlin;Swift;TypeScript,SQLite,NA,NA,NA,NA,NA,Flutter;React Native,Flutter;React Native,CMake;Dagger;Docker;Gradle;Homebrew;Make;npm;Vite;Yarn,CMake;Dagger;Docker;Gradle;Homebrew;Make;Vite,Android Studio;Sublime Text;Visual Studio Code;Xcode,Android Studio;Sublime Text;Visual Studio Code,MacOS,MacOS,Confluence;Jira;Markdown File,Markdown File;Trello,Slack;Zoom,Slack;Zoom,ChatGPT,ChatGPT,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, somewhat",I think helping with question titles will be great. It can help me as a non native english speaker to better focus my search. Sometimes it's hard to phrase the question and as a result find a suitable answer.,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,11,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,1-2 times a week,1-2 times a week,Never,15-30 minutes a day,30-60 minutes a day,DevOps function;Continuous integration (CI) and (more often) continuous delivery,Healthcare,Appropriate in length,Easy,NA
759,I agree,I am a developer by profession,18-24 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Contribute to open-source projects;Bootstrapping a business;Professional development or self-paced learning from online courses;Freelance/contract work,"Associate degree (A.A., A.S., etc.)","Books / Physical media;Colleague;Friend or family member;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;Written-based Online Courses;Click to write Choice 20;Stack Overflow,Other,7,4,"Developer, full-stack",2 to 9 employees,I have a great deal of influence,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Australia,USD	United States dollar,40000,C;C++;HTML/CSS;JavaScript;Lua;PHP;PowerShell;SQL;Visual Basic (.Net),C;HTML/CSS;JavaScript;PowerShell;Python;SQL,MariaDB;Microsoft SQL Server;MongoDB,MariaDB;Microsoft SQL Server;MongoDB;Supabase,"Digital Ocean;Linode, now Akamai;OVH;VMware","Firebase;Linode, now Akamai;VMware",Express;Node.js,Express;Node.js;Nuxt.js;Svelte,OpenGL,Electron;OpenGL,Docker;npm;Visual Studio Solution,npm;Visual Studio Solution,Visual Studio Code,Visual Studio Code,Other Linux-based;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Other Linux-based;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Clickup;Markdown File;Trello;Wikis,Clickup;Markdown File;Wikis,Discord;Whatsapp,Discord;Signal,ChatGPT,ChatGPT;Google Bard AI,Tabnine,Tabnine,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Neutral,"As long as it provides the right information and is correct, then yes.",Yes,Indifferent,Increase productivity;Improve accuracy in coding,Neither trust nor distrust,Project planning;Documenting code;Deployment and monitoring;Collaborating with teammates ,Writing code,,,Writing code,,,,Yes,Individual contributor,5,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,1-2 times a week,3-5 times a week,Never,30-60 minutes a day,15-30 minutes a day,Observability tools;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Too long,Easy,40000
760,I agree,I am a developer by profession,45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;Other (please specify):,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;Hackathons (virtual or in-person);On the job training;School (i.e., University, College, etc);Coding Bootcamp",NA,NA,38,27,"Developer, QA or test",20 to 99 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Norway,NOK	Norwegian krone,850000,Bash/Shell (all shells);C;Go;Java;JavaScript;Perl;PowerShell;Python;R;Raku,Bash/Shell (all shells);C;Go;Perl;Python;Raku,Cassandra;Elasticsearch;InfluxDB;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;Redis,Elasticsearch;Microsoft SQL Server;MySQL;Oracle,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;VMware,Microsoft Azure,Express;FastAPI;Flask;jQuery;Node.js;Spring Boot,FastAPI,NumPy;Opencv;Pandas;Spring Framework;Torch/PyTorch,NumPy;Opencv;Pandas;Torch/PyTorch,Chocolatey;Docker;Kubernetes;Make;npm;NuGet;Pip,Docker;Kubernetes;Pip,Android Studio;IPython;Jupyter Notebook/JupyterLab;Notepad++;Vim;Visual Studio Code,IPython;Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,MacOS;Red Hat;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Ubuntu,Confluence;Jira;Monday.com,Confluence;Jira,Discord;Mattermost;Microsoft Teams,Discord;Microsoft Teams,Bing AI;ChatGPT;WolframAlpha,NA,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,Neutral,I can help ranging answers but not write them. SO is full of outdated answers with high score done a long time ago,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,77021
761,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Video-based Online Courses;Stack Overflow,Udemy;Pluralsight;Coursera;Udacity,16,8,Engineering manager,"10,000 or more employees",I have some influence,Investigate,Start a free trial;Ask developers I know/work with,Romania,RON	Romanian leu,NA,Java;JavaScript;Python,Go;Rust,Dynamodb;PostgreSQL,Elasticsearch,Amazon Web Services (AWS),Amazon Web Services (AWS),AngularJS;NestJS;Node.js;Spring Boot,NestJS;Node.js;Spring Boot,Spring Framework,Quarkus;Torch/PyTorch,Make;Terraform,Terraform;Vite,IntelliJ IDEA;Neovim;Visual Studio Code,IntelliJ IDEA;Neovim;Visual Studio Code,MacOS;Ubuntu;Windows,Ubuntu;Windows,Jira,Notion,Microsoft Teams,NA,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"No, not really",NA,Yes,Indifferent,Increase productivity;Greater efficiency,Somewhat distrust,Writing code;Documenting code;Debugging and getting help;Testing code,,Learning about a codebase;Project planning;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,NA,NA,NA,NA,NA,Yes,Individual contributor,8,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,1-2 times a week,3-5 times a week,1-2 times a week,Over 120 minutes a day,Over 120 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Too long,Neither easy nor difficult,NA
762,I agree,I code primarily as a hobby,55-64 years old,Retired,NA,NA,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;On the job training;School (i.e., University, College, etc)",NA,NA,22,NA,NA,NA,NA,Investigate,Start a free trial;Read ratings or reviews on third party sites like G2 Crowd,United Kingdom of Great Britain and Northern Ireland,NA,NA,C;Go;Lua,NA,MySQL,NA,NA,NA,NA,NA,NA,NA,Make,NA,Visual Studio Code,NA,Ubuntu,,NA,NA,NA,NA,Google Bard AI,NA,NA,NA,Stack Overflow,A few times per week,Not sure/can't remember,NA,Neutral,NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
763,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Employed, full-time",In-person,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"Friend or family member;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Video-based Online Courses;Written-based Online Courses;Stack Overflow;Certification videos,Codecademy;Udemy;Coursera,4,Less than 1 year,Other (please specify):,I donâ€™t know,I have little or no influence,NA,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,El Salvador,USD	United States dollar,NA,JavaScript;Python,SQL,MySQL;PostgreSQL;SQLite,NA,Google Cloud,NA,Django;Flask;jQuery,Angular;Node.js,Apache Spark,NA,Kubernetes;Terraform;Visual Studio Solution,Kubernetes;Terraform;Visual Studio Solution,PyCharm;Visual Studio Code,NA,ChromeOS;Ubuntu;Windows,,GitHub Discussions,Jira,Google Chat;Google Meet;Slack,NA,ChatGPT;Google Bard AI,NA,GitHub Copilot,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Daily or almost daily,"Yes, somewhat",-,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,10,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,1-2 times a week,1-2 times a week,3-5 times a week,30-60 minutes a day,15-30 minutes a day,NA,"Information Services, IT, Software Development, or other Technology",Too long,Neither easy nor difficult,NA
764,I agree,I am a developer by profession,55-64 years old,"Employed, full-time",In-person,Hobby;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Written Tutorials;Stack Overflow,NA,40,40,"Developer, full-stack",2 to 9 employees,I have some influence,Investigate,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Australia,AUD	Australian dollar,NA,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL,Go,Microsoft SQL Server,NA,NA,NA,ASP.NET;Express;Node.js;Vue.js,NA,.NET Framework (1.0 - 4.8);MFC,NA,CMake;Docker;Make;npm;Vite;Yarn,NA,Notepad++;Vim;Visual Studio Code,NA,Debian;Windows;Windows Subsystem for Linux (WSL),Debian;Windows;Windows Subsystem for Linux (WSL),NA,NA,Whatsapp;Zoom,NA,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",I'm sure AI has a better understanding of context of comments than 99% of the so-called moderators.,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
765,I agree,"I used to be a developer by profession, but no longer am",35-44 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;School (i.e., University, College, etc)",NA,NA,18,12,Project manager,NA,NA,Investigate,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,United States of America,NA,NA,Python;Ruby,Crystal;Haskell;Java;Kotlin;Python;Ruby;Scala,Elasticsearch;MongoDB;MySQL,Elasticsearch;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS),NA,React;Ruby on Rails;WordPress,Django;Flask;React;Ruby on Rails;WordPress,NumPy;Pandas;Scikit-Learn,Electron;NumPy;Pandas;Scikit-Learn,Docker;Homebrew;Kubernetes,Docker;Homebrew;Kubernetes,Visual Studio Code,Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),Confluence;Jira,Confluence;GitHub Discussions;Jira,Discord;Microsoft Teams;Slack;Zoom,Discord;Microsoft Teams;Slack;Zoom,ChatGPT;Google Bard AI,ChatGPT;Google Bard AI,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really","Guided assistance at rewording titles, bodies, suggesting appropriate tags.","No, but I plan to soon",Unsure,NA,Somewhat distrust,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,12,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,3-5 times a week,3-5 times a week,1-2 times a week,15-30 minutes a day,30-60 minutes a day,DevOps function;Automated testing;Observability tools;Developer portal or other central places to find tools/services,Healthcare,Appropriate in length,Easy,NA
766,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial,NA,5,1,"Developer, full-stack",2 to 9 employees,I have some influence,Investigate,Ask developers I know/work with,Finland,EUR European Euro,39000,Bash/Shell (all shells);Dart;HTML/CSS;Java;JavaScript;PHP;Rust;SQL,Bash/Shell (all shells);Dart;HTML/CSS;Java;PHP;Rust,MariaDB;MySQL;SQLite,SQLite,NA,NA,jQuery,NA,Flutter,Flutter,Composer;Maven (build tool),NA,IntelliJ IDEA;Vim,IntelliJ IDEA;Vim,MacOS;Windows,MacOS,Confluence,Confluence,Microsoft Teams,Discord;Slack,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,1,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,1-2 times a week,3-5 times a week,1-2 times a week,15-30 minutes a day,Less than 15 minutes a day,DevOps function;Automated testing;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Healthcare,Appropriate in length,Neither easy nor difficult,41765
767,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Stack Overflow;Interactive tutorial,NA,13,12,"Developer, mobile",20 to 99 employees,I have some influence,Given a list,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,India,INR	Indian rupee,NA,Dart;Java;Kotlin,Dart;Java;Kotlin,NA,NA,NA,NA,ASP.NET;React,ASP.NET;React,NA,NA,NA,NA,NA,NA,Android;iOS;MacOS,Android;iOS;MacOS,NA,NA,Microsoft Teams,Microsoft Teams,NA,NA,NA,NA,Stack Overflow,Daily or almost daily,Yes,Daily or almost daily,"Yes, definitely",NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,12,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,DevOps function,Healthcare,Appropriate in length,Neither easy nor difficult,NA
768,I agree,I am a developer by profession,35-44 years old,"Employed, full-time",In-person,Hobby;Contribute to open-source projects,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Books / Physical media;School (i.e., University, College, etc)",NA,NA,25,15,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",I have a great deal of influence,Investigate,Start a free trial;Ask developers I know/work with,Germany,EUR European Euro,NA,Bash/Shell (all shells);Python;SQL,Bash/Shell (all shells);Python;SQL,PostgreSQL;Redis;Snowflake;SQLite,PostgreSQL;Redis;Snowflake;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS),NA,NA,Apache Kafka;NumPy;Pandas,Apache Kafka;NumPy;Pandas,Docker;GNU GCC;Kubernetes;Make;Pip;Podman;Terraform,Docker;GNU GCC;Kubernetes;Make;Pip;Podman;Terraform,Neovim;Vim,Neovim,Debian,Debian,Jira;Markdown File;Wikis,Markdown File,Microsoft Teams;Signal,Signal,NA,NA,NA,NA,Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",meh,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too long,Easy,NA
769,I agree,I am a developer by profession,18-24 years old,"Student, full-time",NA,NA,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Stack Overflow;Interactive tutorial",NA,5,NA,NA,NA,NA,NA,Start a free trial;Visit developer communities like Stack Overflow;Ask a generative AI tool,Spain,NA,NA,C#;Haskell;MATLAB;Python;R;SQL,C#;Python;SQL,MySQL,MongoDB;MySQL,Heroku,NA,NA,NA,Opencv;Pandas;Torch/PyTorch,NumPy;Opencv;Pandas,NA,NA,Jupyter Notebook/JupyterLab;RStudio;Visual Studio Code,Visual Studio Code,Windows,Ubuntu,NA,NA,Discord;Telegram;Whatsapp;Zoom,Discord;Whatsapp,ChatGPT,ChatGPT,NA,NA,Stack Overflow,Multiple times per day,Yes,Daily or almost daily,"Yes, somewhat",I think it is a good idea to use AI tools to improve StackOverflow.,Yes,Very favorable,Increase productivity;Improve accuracy in coding,Somewhat trust,Learning about a codebase;Documenting code;Testing code;Deployment and monitoring,Debugging and getting help;Committing and reviewing code,Project planning;Writing code;Collaborating with teammates ,Debugging and getting help;Committing and reviewing code,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
